codigo;posto;arquivo
P001;Ribeirão Preto;svg/P001-ribeirao.preto.svg
P002;Altinópolis;svg/P002-altinopolis.svg
P003;Barretos;svg/P003-barretos.svg
P004;Barrinha;svg/P004-barrinha.svg
P005;Batatais;svg/P005-batatais.svg
P006;Bebedouro;svg/P006-bebedouro.svg
P007;Buritizal;svg/P007-buritizal.svg
P008;Cajuru;svg/P008-cajuru.svg
P009;Colômbia;svg/P009-colombia.svg
P010;Cravinhos;svg/P010-cravinhos.svg
P011;Fernando Prestes;svg/P011-fernando.prestes.svg
P012;Franca;svg/P012-franca.svg
P013;Guaíra;svg/P013-guaira.svg
P014;Guariba;svg/P014-guariba.svg
P015;Igarapava;svg/P015-igarapava.svg
P016;Ipuã;svg/P016-ipua.svg
P017;Ituverava;svg/P017-ituverava.svg
P018;Miguelópolis;svg/P018-miguelopolis.svg
P019;Monte Alto;svg/P019-monte.alto.svg
P020;Monte Azul Paulista;svg/P020-monte.azul.paulista.svg
P021;Orlândia;svg/P021-orlandia.svg
P022;Patrocínio Paulista;svg/P022-patrocinio.paulista.svg
P023;Pirangi;svg/P023-pirangi.svg
P024;Rifaina;svg/P024-rifaina.svg
P025;Santo Antônio da Alegria;svg/P025-santo.antonio.da.alegria.svg
P026;São Joaquim da Barra;svg/P026-sao.joaquim.da.barra.svg
P027;Sertãozinho;svg/P027-sertaozinho.svg
P028;Taiúva;svg/P028-taiuva.svg
P029;Taquaritinga;svg/P029-taquaritinga.svg
P030;Terra Roxa;svg/P030-terra.roxa.svg
P031;Viradouro;svg/P031-viradouro.svg
P032;Jaboticabal;svg/P032-jaboticabal.svg
P033;Santa Rita do Passa Quatro;svg/P033-santa.rita.do.passa.quatro.svg
P034;Mococa;svg/P034-mococa.svg
